"WptName","GR(6)","Hill Name","Height","GridZN","GridEast","GridNorth","Latitude","Longitude","Climbed?"
"1013.M","NM909961","Garbh Chioch Mhor","1013.0","NM","90955","96101","57.00855600","-5.4443380",""
"1049.M","NN504811","Geal Charn","1049.0","NN","50432","81181","56.89776300","-4.4572360",""
"0926.m","NN561987","Geal Charn"," 926.0","NN","56144","98768","57.05741800","-4.3735720",""
"1132.M","NN469746","Geal-charn","1132.0","NN","46991","74629","56.83783600","-4.5097100",""
"0917.M","NN596782","Geal-charn"," 917.1","NN","59644","78261","56.87443300","-4.3045190",""
"0997.M","NN153429","Glas Bheinn Mhor"," 997.0","NN","15328","42979","56.54238900","-5.0052490",""
"1068.M","NO166765","Glas Maol","1068.0","NO","16699","76576","56.87305900","-3.3682360",""
"1051.M","NO051760","Glas Tulaichean","1051.0","NO","05105","76011","56.86575700","-3.5581630",""
"1035.M","NH039053","Gleouraich","1035.0","NH","03945","05345","57.09716300","-5.2380350",""
"0987.M","NN002875","Gulvain (Gaor Bheinn)"," 987.0","NN","00267","87574","56.93620200","-5.2845260",""
"1020.M","NG824039","Ladhar Bheinn","1020.0","NG","82400","03983","57.07526300","-5.5917450",""
"1023.M","NG911576","Liathach-Mullach an Rathain","1023.0","NG","91185","57691","57.56089100","-5.4925500",""
"1055.M","NG929579","Liathach-Spidean a' Choire Leith","1055.0","NG","92935","57970","57.56419800","-5.4635920",""
"1156.M","NO243861","Lochnagar-Cac Carn Beag","1156.0","NO","24372","86139","56.96026300","-3.2452610",""
"0939.M","NG869007","Luinne Bheinn"," 939.0","NG","86979","00740","57.04832500","-5.5136070",""
"0987.M","NH064404","Lurg Mhor"," 987.0","NH","06481","40451","57.41309100","-5.2236500",""
"1179.m","NH120253","Mam Sodhail","1179.4","NH","12007","25332","57.27980100","-5.1202670",""
"1005.m","NH135458","Maoile Lunndaidh","1004.9","NH","13506","45853","57.46447700","-5.1110020",""
"0933.M","NG924499","Maol Chean-dearg"," 933.0","NG","92406","49911","57.49169700","-5.4655490",""
"0980.m","NH032087","Maol Chinn-dearg"," 980.3","NH","03221","08769","57.12756000","-5.2526510",""
"0928.m","NO240737","Mayar"," 928.0","NO","24081","73749","56.84893600","-3.2463160",""
"1108.M","NN250503","Meall a' Bhuiridh","1107.9","NN","25063","50346","56.61221700","-4.8521270",""
"0926.M","NN612438","Meall a' Choire Leith"," 925.6","NN","61248","43882","56.56631200","-4.2596250",""
"0934.m","NH184733","Meall a' Chrasgaidh"," 934.0","NH","18482","73320","57.71286600","-5.0487420",""
"0946.M","NM848989","Meall Buidhe"," 946.0","NM","84898","98977","57.03155200","-5.5463340",""
"0932.M","NN498499","Meall Buidhe"," 932.1","NN","49838","49946","56.61722200","-4.4486400",""
